2025-01-20 16:52:07 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-01-20 16:52:07 [restartedMain] INFO  com.Tekarch.FlightService.FlightServiceApplication - Starting FlightServiceApplication using Java 17.0.9 with PID 5551 (/Users/niwas/IdeaProjects/TekarchFlightService/build/classes/java/main started by niwas in /Users/niwas/IdeaProjects/TekarchFlightService)
2025-01-20 16:52:07 [restartedMain] INFO  com.Tekarch.FlightService.FlightServiceApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-20 16:52:07 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-01-20 16:52:07 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-01-20 16:52:10 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 5003 (http)
2025-01-20 16:52:10 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5003"]
2025-01-20 16:52:10 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-01-20 16:52:10 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-01-20 16:52:10 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-01-20 16:52:10 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2917 ms
2025-01-20 16:52:11 [restartedMain] WARN  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2025-01-20 16:52:11 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5003"]
2025-01-20 16:52:11 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 5003 (http) with context path '/'
2025-01-20 16:52:11 [restartedMain] INFO  com.Tekarch.FlightService.FlightServiceApplication - Started FlightServiceApplication in 5.094 seconds (process running for 6.635)
2025-01-20 16:57:07 [http-nio-5003-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-01-20 16:57:07 [http-nio-5003-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-01-20 16:57:08 [http-nio-5003-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 19 ms
2025-01-20 19:13:34 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-01-20 19:13:34 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-01-21 10:58:40 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-01-21 10:58:40 [restartedMain] INFO  com.Tekarch.FlightService.FlightServiceApplication - Starting FlightServiceApplication using Java 17.0.9 with PID 4943 (/Users/niwas/IdeaProjects/TekarchFlightService/build/classes/java/main started by niwas in /Users/niwas/IdeaProjects/TekarchFlightService)
